URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigosComunaCL,1.8.5,active,,VSCodigosComunaCL,Códigos de Comunas en Chile,"Códigos de Comunas para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","StructureDefinition/PrestadorInstitucionalMinsal","hl7.fhir.cl.clcore"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigosProvinciasCL,1.8.5,active,,VSCodigosProvinciasCL,Códigos de Provincias en Chile,"Códigos de Provincias para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","StructureDefinition/PrestadorInstitucionalMinsal","hl7.fhir.cl.clcore"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigosRegionesCL,1.8.5,active,,VSCodigosRegionesCL,Códigos de Regiones en Chile,"Códigos de Regiones para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior","StructureDefinition/PrestadorInstitucionalMinsal","hl7.fhir.cl.clcore"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSAmbitoFuncionamiento,0.1.4,active,,VSAmbitoFuncionamiento,Ambito Funcionamiento,"Ambito Funcionamiento","StructureDefinition/PrestadorInstitucionalMinsal,StructureDefinition/AmbitoFuncionamiento","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSCertificacionInst,0.1.4,active,,VSCertificacionInst,Procedimientos de certificación,"Procedimientos de certificación","StructureDefinition/Certificacion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSClasificacionSapu,0.1.4,active,,VSClasificacionSapu,Clasificacion SAPU,"Clasificacion SAPU","StructureDefinition/ClasificacionSAPU","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSDependenciaAdministrativa,0.1.4,active,,VSDependenciaAdministrativa,Dependencia Administrativa,"Dependencia Administrativa","StructureDefinition/DependenciaAdministrativa","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSEstadoFuncionamiento,0.1.4,active,,VSEstadoFuncionamiento,Estado Funcionamiento,"Estado Funcionamiento","StructureDefinition/EstadoFuncionamiento","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSModalidadAtencion,0.1.4,active,,VSModalidadAtencion,Modalidad atención prestador,"Modalidad atención prestador","StructureDefinition/ModalidadAtencion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSNivelAtencion,0.1.4,active,,VSNivelAtencion,Nivel de Atencion,"Nivel de Atencion","StructureDefinition/NivelAtencion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSNivelComplejidadEstablecimiento,0.1.4,active,,VSNivelComplejidadEstablecimiento,Nivel Complejidad Establecimiento,"Nivel Complejidad Establecimiento","StructureDefinition/NivelComplejidadEstablecimiento","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSPertenenciaSNSS,0.1.4,active,,VSPertenenciaSNSS,PertenenciaSNSS,"PertenenciaSNSS","StructureDefinition/PertenenciaSNSS","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSSeremiServiciosdeSalud,0.1.4,active,,VSSeremiServiciosdeSalud,Códigos Seremi/ServiciosdeSalud,"Códigos Seremi/ServiciosdeSalud","StructureDefinition/Dependencia","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSSexoBiologico,0.1.4,active,,VSSexoBiologico,Códigos para sexo biológico en Chile,"Códigos para sexo biológico en Chile",,"Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSTipoEstablecimiento,0.1.4,active,,VSTipoEstablecimiento,Tipos de establecimiento de salud,"Tipo de establecimiento de salud","StructureDefinition/TipoEstablecimiento","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSTipoIdentificadorDEIS,0.1.4,active,,VSTipoIdentificadorDEIS,Códigos para tipops de identificadores,"Códigos para lo tipos de identificadores",,"Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSTipoUrgencia,0.1.4,active,,VSTipoUrgencia,Tipo de urgencia,"Tipo de urgencia","StructureDefinition/TipoUrgencia","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/mfr/ValueSet/VSTiposPrestador,0.1.4,active,,VSTipoPrestador,Tipos de prestadores,"Tipos de prestadores","StructureDefinition/TipoPrestador","Internal"
